"Total de registros", 899
"Sitio","Id STV","Id Flujo","Etiqueta","Eventos"
"C2CENTRO","2234","121998","C2C-BUENAV-121998-2234-FIJA","3"
"C2CENTRO","9408","9408","C2C-TLATEL-9408-9408-PTZ","3"
"C2CENTRO","2352","2352","C2C-BUENAV-2352-2352-PTZ","3"
"C2CENTRO","10128","122682","C2C-ALAMED-122682-10128-FIJA","3"
"C2CENTRO","10103","122646","C2C-CENTRO-122646-10103-FIJA","3"
"C2CENTRO","2641","116863","C2C-ROMA-116863-2641-FIJA","3"
"C2CENTRO","5389","110118","C2C-ANGEL-110118-5389-FIJA","3"
"C2CENTRO","2350","116514","C2C-BUENAV-116514-2350-FIJA","3"
"C2CENTRO","7827","113404","C2C-ANGEL-113404-7827-FIJA","3"
"C2CENTRO","2433","180054","C2C-CENTRO-180054-2433-FIJA","3"
"C2CENTRO","10146","122711","C2C-CENTRO-122711-10146-FIJA","3"
"C2CENTRO","6730","121299","C2C-BUENAV-121299-6730-FIJA","3"
"C2CENTRO","6729","102314","C2C-BUENAV-102314-6729-FIJA","3"
"C2CENTRO","2622","132815","C2C-ROMA-132815-2622-FIJA","3"
"C2CENTRO","8034","121056","C2C-ROMA-121056-8034-FIJA","3"
"C2CENTRO","2352","104483","C2C-BUENAV-104483-2352-FIJA","3"
"C2CENTRO","10128","122680","C2C-ALAMED-122680-10128-FIJA","3"
"C2CENTRO","10306","10306","C2C-ANGEL-10306-10306-PTZ","3"
"C2CENTRO","132","132","C2C-TLATEL-132-132-PTZ","3"
"C2CENTRO","7978","115449","C2C-ALAMED-115449-7978-FIJA","3"
"C2CENTRO","1345","180011","C2C-CENTRO-180011-1345-FIJA","3"
"C2CENTRO","10120","10120","C2C-CENTRO-10120-10120-PTZ","3"
"C2CENTRO","2354","2354","C2C-BUENAV-2354-2354-PTZ","3"
"C2CENTRO","2618","116885","C2C-ROMA-116885-2618-FIJA","3"
"C2CENTRO","2622","132814","C2C-ROMA-132814-2622-FIJA","3"
"C2CENTRO","2352","104482","C2C-BUENAV-104482-2352-FIJA","3"
"C2CENTRO","490","180008","C2C-CENTRO-180008-490-FIJA","3"
"C2CENTRO","10147","10147","C2C-CENTRO-10147-10147-PTZ","3"
"C2CENTRO","10119","122657","C2C-ASTURI-122657-10119-FIJA","3"
"C2CENTRO","1345","1345","C2C-CENTRO-1345-1345-PTZ","3"
"C2CENTRO","2668","2668","C2C-ROMA-2668-2668-PTZ","3"
"C2CENTRO","7744","122331","C2C-TLATEL-122331-7744-FIJA","3"
"C2CENTRO","467","130272","C2C-TLATEL-130272-467-FIJA","3"
"C2CENTRO","2354","115995","C2C-BUENAV-115995-2354-FIJA","3"
"C2CENTRO","2478","180090","C2C-CENTRO-180090-2478-FIJA","3"
"C2CENTRO","10116","10116","C2C-CENTRO-10116-10116-PTZ","3"
